municipio,nombre_unidad,tipologia,clave_ins,institucion,nivel_atencion,tipo_establecimiento,latitud,longitud
ZAPOPAN,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",NO ESPECIFICADO,CIJ,CENTROS DE INTEGRACION JUVENIL,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.73292,-103.359505
SAN PEDRO TLAQUEPAQUE,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",CENTRO DE PREVENCION EN ADICCIONES,CIJ,CENTROS DE INTEGRACION JUVENIL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.634763,-103.28921
PUERTO VALLARTA,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",CENTRO DE PREVENCION EN ADICCIONES,CIJ,CENTROS DE INTEGRACION JUVENIL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.660845,-105.21966
GUADALAJARA,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",CENTRO DE PREVENCION EN ADICCIONES,CIJ,CENTROS DE INTEGRACION JUVENIL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.632889,-103.33996
GUADALAJARA,"CENTROS DE INTEGRACIÓN JUVENIL, A.C. UNIDAD OPERATIVA GUADALAJARA CENTRO",CENTRO DE PREVENCION EN ADICCIONES,CIJ,CENTROS DE INTEGRACION JUVENIL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6794898,-103.3379443
ZAPOPAN,"CENTROS DE INTEGRACIÓN JUVENIL, A.C., UNIDAD OPERATIVA ZAPOPAN NORTE",CENTRO DE PREVENCION EN ADICCIONES,CIJ,CENTROS DE INTEGRACION JUVENIL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7356245,-103.4016749
ZAPOTLAN EL GRANDE,"CENTROS DE INTEGRACIÓN JUVENIL, A.C. UNIDAD DE HOSPITALIZACIÓN ZAPOTLÁN EL GRANDE",HOSPITALES DE ATENCIÓN A ADICCIONES,CIJ,CENTROS DE INTEGRACION JUVENIL,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.6805943,-103.4621319
OCOTLAN,CRUZ ROJA MEXICANA DELEGACIÓN OCOTLÁN,NO ESPECIFICADO,CRUZ ROJA,CRUZ ROJA MEXICANA,PRIMER NIVEL,DE CONSULTA EXTERNA,20.3536677,-102.7745631
ZAPOTLANEJO,CRUZ ROJA MEXICANA DELEGACIÓN ZAPOTLANEJO,NO ESPECIFICADO,CRUZ ROJA,CRUZ ROJA MEXICANA,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6253088,-103.0628255
GUADALAJARA,CRUZ ROJA MEXICANA DELEGACIÓN GUADALAJARA,NO ESPECIFICADO,CRUZ ROJA,CRUZ ROJA MEXICANA,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6794678,-103.3419135
PUERTO VALLARTA,CRUZ ROJA MEXICANA DELEGACIÓN PUERTO VALLARTA,NO ESPECIFICADO,CRUZ ROJA,CRUZ ROJA MEXICANA,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6229165,-105.2223336
ATOTONILCO EL ALTO,CRUZ ROJA MEXICANA DELEGACION ATOTONILCO,NO ESPECIFICADO,CRUZ ROJA,CRUZ ROJA MEXICANA,PRIMER NIVEL,DE CONSULTA EXTERNA,20.5492852,-102.5136678
TEQUILA,CRUZ ROJA MEXICANA DELEGACIÓN TEQUILA,NO ESPECIFICADO,CRUZ ROJA,CRUZ ROJA MEXICANA,PRIMER NIVEL,DE CONSULTA EXTERNA,20.8884588,-103.8357134
AUTLAN DE NAVARRO,CRUZ ROJA MEXICANA DELEGACIÓN AUTLÁN,NO ESPECIFICADO,CRUZ ROJA,CRUZ ROJA MEXICANA,PRIMER NIVEL,DE CONSULTA EXTERNA,19.7712842,-104.3640527
SAN PEDRO TLAQUEPAQUE,CRUZ ROJA MEXICANA BASE TOLUQUILLA,NO ESPECIFICADO,CRUZ ROJA,CRUZ ROJA MEXICANA,PRIMER NIVEL,DE CONSULTA EXTERNA,20.5773066,-103.363111
ZAPOTLAN EL GRANDE,CRUZ ROJA MEXICANA DELEGACION CIUDAD GUZMAN,NO ESPECIFICADO,CRUZ ROJA,CRUZ ROJA MEXICANA,PRIMER NIVEL,DE CONSULTA EXTERNA,19.6899903,-103.4692851
